trialnr	image	imgtime
0	domino01.jpg	14883.664099994348
1	domino02.jpg	17283.571699997992
2	domino03.jpg	94649.86560000398
3	domino04.jpg	29499.784100000397
4	domino05.jpg	94183.33540001186
5	domino06.jpg	123633.30380000116
6	kohs01.jpg	10583.295200005523
7	kohs02.jpg	16800.300600007176
8	kohs03.jpg	9266.897899986361
9	kohs04.jpg	52416.94469998765
10	kohs05.jpg	71766.75270000123
