trialnr	image	imgtime
0	domino01.jpg	46400.06759999959
1	domino02.jpg	18250.234900000563
2	domino03.jpg	24183.4137000005
3	domino04.jpg	38649.89600000082
4	domino05.jpg	25467.296399998304
5	domino06.jpg	28049.97419999924
6	kohs01.jpg	26850.564000000246
7	kohs02.jpg	14733.252699999895
8	kohs03.jpg	11683.49800000037
9	kohs04.jpg	8449.977899999823
10	kohs05.jpg	22866.58549999993
