trialnr	image	imgtime
0	domino01.jpg	12500.151000000187
1	domino02.jpg	15182.398699995247
2	domino03.jpg	100066.62129999313
3	domino04.jpg	26316.812200006098
4	domino05.jpg	236065.01029999345
5	domino06.jpg	389516.9957999897
6	kohs01.jpg	14182.892199998605
7	kohs02.jpg	16100.334599992493
8	kohs03.jpg	19383.912299992517
9	kohs04.jpg	32733.715700000175
10	kohs05.jpg	89033.04229999776
