trialnr	image	imgtime
0	domino01.jpg	9066.756899999746
1	domino02.jpg	3800.092599999971
2	domino03.jpg	105449.87260000018
3	domino04.jpg	26717.033200000064
4	domino05.jpg	51116.81799999997
5	domino06.jpg	73799.6877999999
6	kohs01.jpg	7083.584299999988
7	kohs02.jpg	8283.574899999658
8	kohs03.jpg	7933.727899999707
9	kohs04.jpg	71483.65149999969
10	kohs05.jpg	27666.925500000187
